time,ансамбль 60/120/250,один N=60,один N=120,один N=250,всегда лонг (вол-норм.),B&H равные доли
2025-05-12,1.5006578930063827,2.0389419286684554,1.9544843081836638,0.9833698199013743,1.2891580527073183,1.1459099710861105
2025-05-13,1.4998316035100232,2.0377266416802393,1.9539776334505303,0.9825798990113799,1.2909564644636329,1.1490887742775324
2025-05-14,1.4971760981178803,2.0345870453506087,1.9486291914750409,0.9813904549422908,1.2885684519657719,1.1447872743358165
2025-05-15,1.5062828573660292,2.0530337624106836,1.94184934550707,0.9902717021938977,1.2786042547978167,1.1242972115055667
2025-05-16,1.5017898568068144,2.0470716848843153,1.9357575691488342,0.9873925997788842,1.2807318373889405,1.1263540249042618
2025-05-19,1.504151809160706,2.0440250325489857,1.950619075348694,0.9859403000318214,1.2855712572988933,1.1384886448216565
2025-05-20,1.5054508774747513,2.053263026290381,1.9380413724558205,0.9903962681222537,1.281990895723284,1.1269913918365912
2025-05-21,1.5135916257381665,2.0642031308021664,1.9488289648046815,0.9956732533611665,1.2772185739193163,1.1225121921706347
2025-05-22,1.5136662744743354,2.068017632369723,1.94189332764704,0.9975131871976414,1.2734821807227767,1.112696503806012
2025-05-23,1.5181313427552676,2.0755682454493507,1.9469183999085187,1.0011552432422628,1.272667303414209,1.1118993551291763
2025-05-26,1.5190187047865198,2.081883703429708,1.9437550901719276,1.004201519308768,1.2675655683702094,1.0986530826876488
2025-05-27,1.5166413227982263,2.0772502934030794,1.9432806941301157,1.0019665830437616,1.2679185834986764,1.1008652055155812
2025-05-28,1.514550280574689,2.0707328721488434,1.9474008172460298,0.9988228895153012,1.2717559871284976,1.111342079922827
2025-05-29,1.5200873310690433,2.077114154435987,1.9600647802667612,1.0019009160915844,1.2691005178644403,1.1102476586765717
2025-05-30,1.516920391000051,2.0723496286889134,1.959038618858554,0.9996027358492804,1.2704895704667896,1.112368378236385
2025-06-02,1.518744097420469,2.0740693677740247,1.9616380970950276,1.0004322560569838,1.2742739751810173,1.116777509183464
2025-06-03,1.5166412335018835,2.069708230895034,1.961616264027782,0.9983355046376455,1.2755869763551744,1.1202964788546141
2025-06-04,1.513605284334339,2.064999876335566,1.9564568902852257,0.9969937553654612,1.2786617624634484,1.1219665976981439
2025-06-05,1.513659296905894,2.0632648677979946,1.9596983853270429,0.996186907245746,1.2783412716508196,1.1231387256630767
2025-06-06,1.5161295918483713,2.071775109601501,1.9488751897004037,1.000225512104616,1.272285559280439,1.1117968589885476
2025-06-09,1.5196193667610824,2.0792652438300823,1.9483257787896398,1.0038416494497335,1.267556002116307,1.1036629851427706
2025-06-10,1.5251288031393306,2.087039453719561,1.955268697167091,1.0075949347517315,1.2625206987300523,1.0995765441302976
2025-06-11,1.5168592338474636,2.075133964811258,1.9455358577651778,1.0018471227981196,1.2703206847613755,1.1075478847559495
2025-06-13,1.5176199901694214,2.0757772444583984,1.9472371818050138,1.0021669528658033,1.2756031980265103,1.1186697255223517
2025-06-16,1.5167268123565645,2.074452059889966,1.9432803461222168,1.0030652208089716,1.2732429105897545,1.1140317063614775
2025-06-17,1.5145830412372328,2.0696313335151375,1.944759511765994,0.9976932259043976,1.2784424660349203,1.1261014399903415
2025-06-18,1.5169701890874492,2.07420875431345,1.9473547046929087,0.9991583891332132,1.2774570995127377,1.1250273904986037
