symbol,start,end,payments,hours,ann_entry,gross,net,year,days
XTZUSDT,2020-05-08 16:00:00.000,2020-05-10 16:00:00.000,6,48.0,140.90131989240695,0.0036846900000000004,-0.0013153099999999997,2020,2.0
XTZUSDT,2020-07-26 00:00:00.000,2020-08-08 00:00:00.000,39,312.0,216.22964999999996,0.04104825999999999,0.03604825999999999,2020,13.0
XTZUSDT,2020-08-10 00:00:00.001,2020-08-19 08:00:00.000,28,223.9999997222222,151.52172,0.03355683,0.028556830000000002,2020,9.333333321759259
XTZUSDT,2020-11-23 16:00:00.003,2020-11-26 00:00:00.012,7,56.0000025,140.794005,0.00553513,0.00053513,2020,2.3333334375
XTZUSDT,2021-01-04 08:00:00.000,2021-01-05 08:00:00.003,3,24.00000083333333,244.01418,0.0015783,-0.0034217,2021,1.0000000347222222
XTZUSDT,2021-01-08 00:00:00.000,2021-01-08 08:00:00.000,1,8.0,142.046704728709,0.0001,-0.0049,2021,0.3333333333333333
XTZUSDT,2021-01-10 08:00:00.005,2021-01-11 08:00:00.012,3,24.000001944444445,235.872855,0.0008795300000000001,-0.00412047,2021,1.0000000810185186
XTZUSDT,2021-01-19 08:00:00.005,2021-01-21 16:00:00.004,7,55.99999972222223,264.39869999999996,0.0048692,-0.00013080000000000036,2021,2.3333333217592593
XTZUSDT,2021-02-03 08:00:00.006,2021-02-15 08:00:00.006,36,288.0,274.15517855783116,0.06804305000000001,0.06304305,2021,12.0
XTZUSDT,2021-02-18 08:00:00.000,2021-02-21 00:00:00.007,8,64.00000194444445,272.5806535752723,0.017153489999999997,0.012153489999999996,2021,2.6666667476851855
XTZUSDT,2021-03-09 16:00:00.000,2021-03-25 00:00:00.000,46,368.0,149.02293,0.042322759999999994,0.037322759999999996,2021,15.333333333333334
XTZUSDT,2021-03-30 08:00:00.012,2021-04-18 08:00:00.004,57,455.9999977777778,132.51364260700888,0.09253294000000002,0.08753294000000002,2021,18.99999990740741
XVGUSDT,2024-03-02 16:00:00.000,2024-03-06 00:00:00.000,10,80.0,123.2510142795491,0.009286009999999999,0.004286009999999999,2024,3.3333333333333335
YFIUSDT,2020-11-22 08:00:00.000,2020-11-26 08:00:00.002,12,96.00000055555554,128.44790229998304,0.009792139999999998,0.004792139999999998,2020,4.000000023148147
YFIUSDT,2020-12-19 00:00:00.000,2020-12-22 00:00:00.001,9,72.00000027777777,112.58461499999999,0.005393230000000001,0.0003932300000000005,2020,3.0000000115740737
YFIUSDT,2021-01-04 08:00:00.000,2021-01-11 08:00:00.012,21,168.00000333333332,265.93388999999996,0.032093460000000004,0.027093460000000003,2021,7.000000138888889
YFIUSDT,2021-01-17 00:00:00.009,2021-01-21 16:00:00.004,14,111.99999861111111,119.65065000000001,0.01187666,0.006876660000000001,2021,4.666666608796296
YFIUSDT,2021-01-30 08:00:00.000,2021-02-21 00:00:00.007,65,520.0000019444444,140.432655,0.13080302000000005,0.12580302000000004,2021,21.666666747685184
YFIUSDT,2021-03-15 00:00:00.012,2021-03-15 16:00:00.030,2,16.000004999999998,118.65638999999999,0.00071873,-0.00428127,2021,0.6666668749999999
YFIUSDT,2021-03-30 16:00:00.001,2021-04-18 08:00:00.004,56,448.00000083333333,156.90698992975308,0.08605171000000005,0.08105171000000004,2021,18.666666701388888
YFIUSDT,2021-09-06 00:00:00.003,2021-09-07 16:00:00.001,5,39.99999944444444,106.86762,0.0017996999999999998,-0.0032003000000000005,2021,1.6666666435185185
YGGUSDT,2024-03-02 12:00:00.000,2024-03-06 00:00:00.000,21,84.0,177.79735234703836,0.01051061,0.00551061,2024,3.5
YGGUSDT,2024-03-09 20:00:00.000,2024-03-15 20:00:00.000,36,144.0,174.62622,0.013986799999999997,0.008986799999999996,2024,6.0
YGGUSDT,2024-03-31 00:00:00.000,2024-04-02 04:00:00.000,13,52.0,115.57725,0.00482201,-0.00017799000000000027,2024,2.1666666666666665
ZECUSDT,2020-02-07 08:00:00.000,2020-02-14 00:00:00.000,20,160.0,172.18984500000002,0.039396770000000005,0.03439677000000001,2020,6.666666666666667
ZECUSDT,2020-02-15 08:00:00.000,2020-02-16 00:00:00.000,2,16.0,207.43242,0.0024109300000000004,-0.0025890699999999997,2020,0.6666666666666666
ZECUSDT,2020-02-19 16:00:00.000,2020-02-20 08:00:00.000,2,16.0,173.28594601687314,0.00050562,-0.00449438,2020,0.6666666666666666
ZECUSDT,2020-07-13 08:00:00.001,2020-07-14 08:00:00.000,3,23.99999972222222,108.285645,0.0011891199999999999,-0.00381088,2020,0.9999999884259259
ZECUSDT,2020-07-26 16:00:00.000,2020-07-30 08:00:00.001,11,88.00000027777777,109.13645999999999,0.010491180000000001,0.005491180000000001,2020,3.6666666782407407
