source,symbol,event,h,n,mean_bp,t,uncond_bp,hot_bp,hot_t,hot_n,calm_bp,calm_t,calm_n
crypto,flow_ATOMUSDT,pulled_dn,2,129,-0.24183798002802667,-0.13325133452902618,-0.11459661099806959,-2.9025423847924774,-0.8035783802074444,36,0.7881121121388571,0.3759696730798424,93
crypto,flow_ATOMUSDT,pulled_dn,5,107,0.2917041529082968,0.11820277178715356,-0.17897248594570006,-7.638952678100992,-1.6397815632041095,27,2.968300833373932,1.0391371239856773,80
crypto,flow_ATOMUSDT,pulled_dn,15,85,4.352602257179489,1.0168449309664211,-0.3798550153073807,3.5544044223466558,0.3667795466722367,18,4.567043466537564,0.9505854879142764,67
crypto,flow_ATOMUSDT,pulled_dn,60,61,3.98415628303756,0.414425567393378,-1.2363878322142083,20.290955163374438,0.6526867613516953,11,0.39666052936344587,0.04108349421407875,50
crypto,flow_ATOMUSDT,liq_long_spike,1,249,-1.456067367818357,-0.4124547443468233,0.09279050265448845,-3.7796482803903193,-0.3755370860948031,86,-0.23012897222824158,-0.22189462145978062,163
crypto,flow_ATOMUSDT,liq_long_spike,2,236,-1.7985740848900842,-0.5044289230566611,0.11459661099806959,-6.607466736394804,-0.6178187330624693,77,0.5302607211845278,0.4620573872637883,159
crypto,flow_ATOMUSDT,liq_long_spike,5,223,0.4158151338708325,0.12612434672361994,0.17897248594570006,-2.8357740682523445,-0.28589772680099457,71,1.9346495638099477,1.33738237687678,152
crypto,flow_ATOMUSDT,liq_long_spike,15,207,3.5551763194703416,0.9570055584946358,0.3798550153073807,-3.4120106985312946,-0.3032159033788399,62,6.5342493892365585,2.909832999267383,145
crypto,flow_ATOMUSDT,liq_long_spike,60,169,8.643295479981383,1.3911073326851597,1.2363878322142083,5.056825630488713,0.29461578059442545,45,9.94483695761985,1.7165208229536748,124
crypto,flow_ATOMUSDT,liq_short_spike,1,187,0.8289373576788583,0.5748415861603273,-0.09279050265448845,2.9332217615159353,1.0707268172925901,72,-0.4885276603756594,-0.30586237207507555,115
crypto,flow_ATOMUSDT,liq_short_spike,2,184,1.840334915774956,1.0215948121629923,-0.11459661099806959,4.930733857199627,1.4282970344719357,71,-0.10142017131488049,-0.05157682105724882,113
crypto,flow_ATOMUSDT,liq_short_spike,5,169,1.7410001119861946,0.6248580315718945,-0.17897248594570006,1.6636183190325902,0.29435644814690226,63,1.786991177609563,0.6095938029071147,106
crypto,flow_ATOMUSDT,liq_short_spike,15,146,-3.816910275424705,-0.8070835389605404,-0.3798550153073807,-12.564847961644881,-1.46914337368062,48,0.46779389741783367,0.08285775220378465,98
crypto,flow_ATOMUSDT,liq_short_spike,60,119,-2.182040767681585,-0.2327751344231881,-1.2363878322142083,-16.851247161475296,-0.8832506123105689,29,2.544703514763054,0.2361517936033232,90
