strategy,symbol,level_step_frac,touch_threshold,train_total_return_%,train_buy_hold_%,train_sharpe,train_max_drawdown_%,train_trades,train_win_rate_%,test_total_return_%,test_buy_hold_%,test_sharpe,test_max_drawdown_%,test_trades,test_win_rate_%,rsi_period,pivot_order,max_pivot_gap,window,entry_z,exit_z,min_corr
correlation,btc.v,,,17.988211948726796,754.9764529929395,0.2884328507017537,-29.657682965613898,20,45.0,-8.211717571665666,15.517794081321235,-0.48694644354708333,-14.697617607694957,3,0.0,,,,50.0,2.0,1.0,0.7
correlation,btc.v,,,17.51090707041154,754.9764529929395,0.2806626602055752,-29.657682965613887,20,40.0,1.1112518088665535,15.517794081321235,0.10757874946784272,-14.697617607694957,3,33.33333333333333,,,,50.0,2.0,0.5,0.7
correlation,btc.v,,,18.14257209599097,754.9764529929395,0.27319931261309033,-45.10169095191723,35,28.57142857142857,-4.345181401744669,15.517794081321235,-0.12643456834830047,-22.75422516239789,7,28.57142857142857,,,,30.0,2.0,0.5,0.5
correlation,btc.v,,,15.276565019760868,754.9764529929395,0.25102241126620384,-49.82945478624371,59,35.59322033898305,-17.96865673466582,15.517794081321235,-0.7374641986495056,-30.453146086854442,14,21.428571428571427,,,,30.0,1.5,1.0,0.5
correlation,btc.v,,,12.921594511839896,754.9764529929395,0.23068861931457377,-46.26200155194602,34,29.411764705882355,0.22398133914629526,15.517794081321235,0.062003666349089805,-17.445259293273494,7,42.857142857142854,,,,30.0,2.0,1.0,0.7
correlation,btc.v,,,10.016340692545246,754.9764529929395,0.21426271861758134,-56.20705384512659,62,40.32258064516129,-17.386818918049663,15.517794081321235,-0.5562685044505553,-36.338982273297994,17,35.294117647058826,,,,20.0,1.5,0.5,0.5
correlation,btc.v,,,9.975647032341328,754.9764529929395,0.20502112281698087,-47.663941736777026,35,28.57142857142857,0.22398133914629526,15.517794081321235,0.062003666349089805,-17.445259293273494,7,42.857142857142854,,,,30.0,2.0,1.0,0.5
correlation,btc.v,,,9.390487493673794,754.9764529929395,0.20260301777659964,-26.089709754956136,16,37.5,-12.672593046042458,15.517794081321235,-0.9938580113270848,-18.977004247303352,4,25.0,,,,30.0,2.5,0.5,0.5
round_numbers,btc.v,0.05,0.003,3.534957514480075,754.9764529929395,0.1976583659985171,-67.0134259602838,259,42.471042471042466,-22.12225519597004,15.517794081321235,-0.26225592700439104,-49.71756288988944,51,31.372549019607842,,,,,,,
correlation,btc.v,,,7.601835576959282,754.9764529929395,0.18072274285269954,-26.089709754956136,15,33.33333333333333,-12.672593046042458,15.517794081321235,-0.9938580113270848,-18.977004247303352,4,25.0,,,,30.0,2.5,0.5,0.7
correlation,btc.v,,,4.650725716863735,754.9764529929395,0.17363239666141383,-46.403776862614286,52,32.69230769230769,-22.567590414403107,15.517794081321235,-0.9854468817139947,-31.098311345585373,9,11.11111111111111,,,,50.0,1.5,0.5,0.5
correlation,btc.v,,,6.924750295273552,754.9764529929395,0.17228566386885005,-24.560377330317205,16,37.5,-11.618018019241905,15.517794081321235,-1.1424120785578862,-13.315715372976001,4,25.0,,,,30.0,2.5,1.0,0.5
rsi_divergence,aapl.us,,,4.076013590357053,190.53304653234076,0.1692457577709936,-19.138021444935525,4,25.0,13.100041972638476,45.94331891211954,0.9541117227466449,-10.192377952296972,1,0.0,14.0,3.0,90.0,,,,
rsi_divergence,aapl.us,,,4.076013590357053,190.53304653234076,0.1692457577709936,-19.138021444935525,4,25.0,13.100041972638476,45.94331891211954,0.9541117227466449,-10.192377952296972,1,0.0,14.0,3.0,60.0,,,,
rsi_divergence,aapl.us,,,4.076013590357053,190.53304653234076,0.1692457577709936,-19.138021444935525,4,25.0,13.100041972638476,45.94331891211954,0.9541117227466449,-10.192377952296972,1,0.0,14.0,3.0,30.0,,,,
correlation,btc.v,,,6.3681414395846625,754.9764529929395,0.16767797679364743,-36.22230146272778,36,38.88888888888889,0.08937587322677132,15.517794081321235,0.06256824598911961,-15.92223266081848,10,50.0,,,,20.0,2.0,1.0,0.5
rsi_divergence,aapl.us,,,3.404975823154044,190.53304653234076,0.15997213564068435,-19.659385010557695,3,0.0,13.100041972638476,45.94331891211954,0.9541117227466449,-10.192377952296972,1,0.0,21.0,3.0,30.0,,,,
rsi_divergence,aapl.us,,,3.404975823154044,190.53304653234076,0.15997213564068435,-19.659385010557695,3,0.0,13.100041972638476,45.94331891211954,0.9541117227466449,-10.192377952296972,1,0.0,21.0,3.0,60.0,,,,
